,Sentence,Entity,Sentiment
0,The website was very easy to use and my insurance was up and running within a few minutes...quick simple brilliant,website,positive
1,The web sight was easy to understand and I got the cover I wanted and need,web sight,positive
2,Having filled in the application on-line I could not see the point of answering all the questions again on the phone .,point,negative
3,After finding AXA was cheaper than my renewal I instantly went to their website to see the offers and prices they were offering.,prices,positive
4,The quote was a reasonable price compared with other insurances.,insurances,positive
5,Excellent price for insurance and good fast service from professional staff,price,positive
6,easy to use fair price don't like auto renewal though.,renewal,positive
7,Exhaustive as expected but as I had a company car (claim free) for eight years I feel I should have been able to use this towards no claims bonus as I covered a large mileage countrywide during this period.,claims bonus,negative
8,Web site very user friendly the cost of the insurance was extremely competitive with many optional add ons,site,positive
9,The service was great a little disappointed with the actual insurance as it did not cover me for outside of the home even tho I do pay for it but as it wasn't a valuable it isn't covered.,home,negative
10,Very expensive for an experienced driver better be good for the price had an accident (hit in rear by 3rd party) seemed to put the insurance prices up the last experience with Hastingsdirect was a nightmare on the phone at time (talking to children it seemed used the words \ tou,experience,negative
11,but he couldn't advise me only sell by script.,script,negative
12,I thought the company's service was excellent I was very pleased with the way the proceedings were conducted,service,positive
13,The best quote from a known insurer and the process was very easy to complete.,process,positive
14,Outstanding policy for a great price.,policy,positive
15,\nI would recommend this company and the price was very good.,price,positive
16,Simple straightforward easy to follow for people like myself who are not well versed in modern technology,people,positive
17,A satisfactory and competitive quote was achieved in minutes; with the whole transaction completed in a very short time.,transaction,positive
18,Finding the sports that are covered by AXA with a simple search rather than reading through policy document was very welcome compared to many other companies their quote very reasonable.,companies,positive
19,I've already ordered my new iPhone and couldn't be more pleased with the service - I just wish I'd called them sooner instead of waiting for it to dry out in rice for 2 weeks without success.,weeks,negative
20,Bought insurance today web site was easy to use and easy to understand documents were there quickly.,web site,positive
21,Very user friendly website cheapest insurance policy around with many optional extra options.,policy,positive
22,Amazingly easy to register online and access and print off documents.,print,positive
23,Easy to use quote system online straight forward when calling the help centre.,quote system,positive
24,Additional medical cover was a breeze to apply.,breeze,positive
25,Great service with great competitive prices,prices,positive
26,Although the options of the upgrades (injury etc.) were not clearly explained.,options,negative
27,Really easy to use by far the quickest to sort out no problems compared to most company's exellent service.,company,positive
28,I was amazed by the standard service given to my uncle who has no internet.,internet,positive
29,have not received any paperwork as yet but it's early days,paperwork,negative
30,The only issue was  there was so much background talking there that it was difficult to hear the sales person and made it hard to concentrate.,sales person,negative
31,Simple quick no nonsense way of getting home insurance cover.,insurance cover,positive
32,This cover was taken out for my dad but I am already a customer and find your prices good and online service excellent.,service,positive
33,Amazing quote and really easy to set up the policy am extremely impressed as it was over Â£200 cheaper than my current provider!,policy,positive
34,Went on the AXA website quick and straightforward application process and quote was very reasonable (Â£93) and the level of cover very good.,website,positive
35,Took two days to axknowledge claim three days to organise courtesy car.,claim,negative
36,Excellent prices... Exceptional benefits.,prices,positive
37,The advisor was extremely helpful and the insurance quote was very competitive,advisor,positive
38,Did my car insurance on line had got to the end to state what date i wanted payments to come out of account but the site just wouldn't input the date i picked so had to ring up and go through all details again the gentleman on the phone was extremely helpful.,gentleman,positive
39,Excellent service from the beginning of our claim right through to rapid payment of our claim.,claim,positive
40,Try once again still not good reply and say's that you go on lineI did not satisfied.,reply,negative
41,Excellent customer service all staff were polite and helpful and understanding.,service,positive
42,I have been using axa insurance for our travels for awhile now and the prices has always been reasonably good.,axa,positive
43,Easy transaction and good friendly service.,transaction,positive
44,good communication and thorough consultation on policy requirements,requirements,positive
45,good to be able to remain a customer and not feel ripped off by exorbitant renewal cost,renewal cost,negative
46,The 'small print' details took too long to cover - not the sales rep's fault just Axa's procedure (28 minutes to buy car insurance is too long will buy online next time).,print,negative
47,E mail sent explaining this but no response to date.,date,negative
